date,league,season,home,away,fthg,ftag,market,selection,soft_book,soft_source,soft_odds,fair_odds,fair_close,stake,pnl,clv,won
2019-09-28,league_one_t3,2019-2020,Shrewsbury,Fleetwood Town,0.0,3.0,1X2,draw,b365,,3.5,3.3483937146103946,3.377168024400787,1.0,-1.0,0.036371295331391496,0.0
2019-10-05,league_one_t3,2019-2020,Fleetwood Town,Ipswich,0.0,1.0,1X2,draw,b365,,3.4,3.267039745239227,3.4832164744452916,1.0,-1.0,-0.023890698455238613,0.0
2019-10-05,league_one_t3,2019-2020,Doncaster,Portsmouth,1.0,2.0,1X2,draw,b365,,3.75,3.527188880339626,3.62462488515583,1.0,-1.0,0.034589817930574585,0.0
2019-10-21,bundesliga_2,2019-2020,Bielefeld,Hamburg,1.0,1.0,1X2,draw,b365,,3.8,3.618055797218601,3.7052963638003287,1.0,2.8,0.025558990941965787,1.0
2019-11-11,ligue_2_t2,2019-2020,Rodez,Lens,1.0,2.0,1X2,draw,b365,,3.1,2.963254878978797,3.106667609303829,1.0,-1.0,-0.0021462255195441315,0.0
2019-11-22,ligue_2_t2,2019-2020,Troyes,Chambly,0.0,4.0,1X2,draw,b365,,3.75,3.5876663564349274,3.672293012629993,1.0,-1.0,0.021160345076700615,0.0
2019-12-14,bundesliga_2,2019-2020,St Pauli,Wehen,3.0,1.0,1X2,draw,b365,,4.0,3.8132348167316823,3.861121610003965,1.0,-1.0,0.03596840608081564,0.0
2019-12-14,bundesliga_2,2019-2020,Heidenheim,Bielefeld,0.0,0.0,1X2,draw,b365,,3.75,3.5429017954695814,3.5537519994734823,1.0,2.75,0.05522276190223563,1.0
2019-12-14,ligue_2_t2,2019-2020,Ajaccio,Lens,1.0,2.0,1X2,draw,b365,,3.0,2.8786422315911144,2.8872283005701544,1.0,-1.0,0.039058809241921066,0.0
2019-12-26,league_one_t3,2019-2020,Ipswich,Gillingham,0.0,0.0,1X2,draw,b365,,3.5,3.2961880089918996,3.409964261586519,1.0,2.5,0.026403719073463616,1.0
