selection,scheme,bin,n,hit_rate,ci_low,ci_high,mean_odds,break_even,ci_above_break_even
away,market,0.2-0.3,1042,0.23320537428023033,0.20853762310884374,0.2598331129567325,3.764539347408829,0.26920508403404836,False
away,market,0.3-0.4,1028,0.3453307392996109,0.3168888347438773,0.37492432727633973,2.733054474708171,0.3683387655875249,False
away,market,0.4-0.5,442,0.45701357466063347,0.4111417403243687,0.5036261951935372,2.133710407239819,0.47053578206111263,False
away,market,0.5-0.6,149,0.6308724832214765,0.5510065967550473,0.704159536025557,1.7504697986577178,0.5725770898866913,False
away,market,0.6-0.7,29,0.5862068965517241,0.40737528478515245,0.7448706472035449,1.4906896551724136,0.6719618249475505,False
away,market,0.7-0.8,1,0.0,0.0,0.7934567085261071,1.31,0.7633587786259541,False
away,market,0.8-0.9,1,1.0,0.20654329147389294,1.0,1.08,0.9259259259259258,False
over,model,0.1-0.2,1,0.0,0.0,0.7934567085261071,2.2,0.45454545454545453,False
over,model,0.2-0.3,45,0.5333333333333333,0.3907720886241046,0.6706509605798527,2.242888888888889,0.44895896695642046,False
over,model,0.3-0.4,520,0.47307692307692306,0.43051805543831423,0.5160306722686873,2.1067115384615387,0.4772064435588161,False
over,model,0.4-0.5,1391,0.4852624011502516,0.4590743723564721,0.5115316089965359,1.9929834651329976,0.504011619996695,False
over,model,0.5-0.6,965,0.48808290155440415,0.45665435394076886,0.5196059552779928,1.8647564766839377,0.538461746030695,False
over,model,0.6-0.7,218,0.481651376146789,0.41621589673099213,0.5477223366751861,1.7875688073394498,0.5618600730691063,False
over,model,0.7-0.8,19,0.5789473684210527,0.36275551465160105,0.7685837960796962,1.7368421052631582,0.5782511640047913,False
over,market,0.3-0.4,42,0.47619047619047616,0.3335936447596496,0.6227778605979295,2.475476190476191,0.40473666829917204,False
over,market,0.4-0.5,2006,0.46360917248255235,0.44187684456241555,0.4854806148513013,2.04451146560319,0.49044713743362994,False
over,market,0.5-0.6,1100,0.5245454545454545,0.49499882091627007,0.5539212415274718,1.7918363636363637,0.5590143340946809,False
over,market,0.6-0.7,11,0.45454545454545453,0.21270957543988045,0.7199122443100118,1.5236363636363637,0.6564909757974908,False
under,model,0.2-0.3,19,0.42105263157894735,0.2314162039203038,0.6372444853483988,2.089473684210526,0.48137169361378385,False
under,model,0.3-0.4,218,0.518348623853211,0.45227766332481395,0.583784103269008,2.0160091743119266,0.4985252938260622,False
under,model,0.4-0.5,965,0.5119170984455959,0.4803940447220071,0.5433456460592311,1.9267668393782382,0.5212915752397398,False
under,model,0.5-0.6,1391,0.5147375988497483,0.488468391003464,0.5409256276435279,1.8057584471603163,0.5560174564085464,False
under,model,0.6-0.7,520,0.5269230769230769,0.48396932773131274,0.5694819445616858,1.7200961538461537,0.5836293794584689,False
under,model,0.7-0.8,45,0.4666666666666667,0.3293490394201473,0.6092279113758954,1.6395555555555552,0.6124779833516131,False
under,model,0.8-0.9,1,1.0,0.20654329147389294,1.0,1.66,0.6024096385542169,False
under,market,0.3-0.4,11,0.5454545454545454,0.28008775568998817,0.7872904245601196,2.4600000000000004,0.4069410577542616,False
