source,bin,n,hit_rate,ci_low,ci_high,mean_odds,break_even,clears
market avg O/U under,0.6-0.7,520,0.5269230769230769,0.48396932773131274,0.5694819445616858,1.7200961538461537,0.5836293794584689,False
market avg O/U under,0.7-0.8,45,0.4666666666666667,0.3293490394201473,0.6092279113758954,1.6395555555555552,0.6124779833516131,False
market avg O/U under,0.8-0.9,1,1.0,0.20654329147389294,1.0,1.66,0.6024096385542169,False
B365 1X2 home,0.0-0.1,5,0.4,0.1176182311592533,0.769280067791163,6.720000000000001,0.16246031746031747,False
B365 1X2 home,0.1-0.2,130,0.15384615384615385,0.101853111526678,0.22571021706473152,4.765615384615384,0.22865333748793262,False
B365 1X2 home,0.2-0.3,422,0.3127962085308057,0.27041687422810057,0.35855314654957826,3.524857819905213,0.2992711901122381,False
B365 1X2 home,0.3-0.4,818,0.37775061124694376,0.34516992685483167,0.4114741758530382,2.725256723716382,0.38143826143552206,False
B365 1X2 home,0.4-0.5,906,0.4359823399558499,0.4040293962604553,0.468475883779499,2.2635982339955847,0.45412218470475263,False
B365 1X2 home,0.5-0.6,526,0.5304182509505704,0.48770114916405494,0.5726942595769727,1.9132699619771865,0.5335922193798257,False
B365 1X2 home,0.6-0.7,262,0.5992366412213741,0.5388753173730818,0.6567298851234424,1.6245801526717556,0.6263666912876312,False
B365 1X2 home,0.7-0.8,80,0.725,0.618557347158301,0.8108237715226401,1.4925,0.677173389190337,False
B365 1X2 home,0.8-0.9,7,1.0,0.6456611570247934,1.0,1.3571428571428572,0.7392088640596344,False
B365 1X2 draw,0.1-0.2,163,0.2085889570552147,0.15328227961519503,0.2773153650969151,4.479141104294479,0.2281094479818695,False
B365 1X2 draw,0.2-0.3,2705,0.2658040665434381,0.24949679886544876,0.2827755938798486,3.5827430683918666,0.28097413389707565,False
B365 1X2 draw,0.3-0.4,288,0.2465277777777778,0.20030383701414195,0.2994247828947402,3.3965277777777776,0.2952110064437791,False
B365 1X2 away,0.0-0.1,68,0.07352941176470588,0.03181437515487155,0.160853939581994,7.760000000000001,0.14181977490119343,False
B365 1X2 away,0.1-0.2,498,0.1606425702811245,0.13100802718308102,0.19547267907961224,5.625963855421687,0.19483515396241513,False
B365 1X2 away,0.2-0.3,1012,0.2658102766798419,0.23951501430089023,0.29387680584114767,3.7985968379446637,0.2782985536398403,False
B365 1X2 away,0.3-0.4,908,0.32709251101321585,0.2973607141561566,0.35828123067285755,2.9573898678414094,0.35300450859431853,False
B365 1X2 away,0.4-0.5,423,0.4326241134751773,0.38622489619013944,0.4802361047994548,2.371111111111111,0.43572790756757485,False
B365 1X2 away,0.5-0.6,188,0.5478723404255319,0.4764776316196176,0.6173497759916616,2.0417553191489364,0.514509929428837,False
B365 1X2 away,0.6-0.7,53,0.6037735849056604,0.4694123578888073,0.7241078808096105,1.7941509433962262,0.5726308786109633,False
B365 1X2 away,0.7-0.8,6,0.6666666666666666,0.29998832134152864,0.9032306674407831,1.625,0.6265288932654143,False
B365 O/U over,0.1-0.2,1,0.0,0.0,0.7934567085261071,2.15,0.46511627906976744,False
B365 O/U over,0.2-0.3,31,0.5161290322580645,0.34840118286973176,0.6803001396872117,2.2316129032258067,0.45140614333609597,False
B365 O/U over,0.3-0.4,321,0.4236760124610592,0.3708344017454065,0.4783228490500582,2.1088473520249225,0.4763001049102869,False
B365 O/U over,0.4-0.5,882,0.47732426303854875,0.444529644316869,0.5103155559988535,2.003265306122449,0.5012051370846556,False
B365 O/U over,0.5-0.6,638,0.5015673981191222,0.46287591855882554,0.5402401150544521,1.8848746081504701,0.5330322156444649,False
B365 O/U over,0.6-0.7,165,0.49696969696969695,0.42162002971187185,0.5724572592974718,1.8218181818181813,0.5518917621701204,False
B365 O/U over,0.7-0.8,16,0.625,0.3864064709793481,0.815190174452472,1.7468750000000002,0.5755377328997282,False
B365 O/U under,0.2-0.3,16,0.375,0.18480982554752806,0.613593529020652,2.0949999999999998,0.4800562905257475,False
B365 O/U under,0.3-0.4,165,0.503030303030303,0.4275427407025282,0.5783799702881282,2.0056969696969698,0.500906932973558,False
B365 O/U under,0.4-0.5,638,0.49843260188087773,0.45975988494554776,0.5371240814411743,1.9400626959247649,0.5177584863611223,False
B365 O/U under,0.5-0.6,882,0.5226757369614512,0.4896844440011466,0.5554703556831311,1.8184580498866212,0.5524121974001027,False
B365 O/U under,0.6-0.7,321,0.5763239875389408,0.5216771509499418,0.6291655982545934,1.7235202492211839,0.5826806663670066,False
B365 O/U under,0.7-0.8,31,0.4838709677419355,0.3196998603127883,0.6515988171302683,1.6503225806451611,0.6094191771685694,False
B365 O/U under,0.8-0.9,1,1.0,0.20654329147389294,1.0,1.66,0.6024096385542169,False
Pinnacle pre 1X2 home,0.0-0.1,5,0.4,0.1176182311592533,0.769280067791163,6.9239999999999995,0.16025119631787813,False
Pinnacle pre 1X2 home,0.1-0.2,127,0.14960629921259844,0.09791643486909837,0.22187176704833464,4.7347244094488214,0.22979331138085243,False
